"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence","shape_dist_traveled"
"SMNW.OUTBOUND","-33.730865","150.9695018","303","25693.91039212979"
"SMNW.OUTBOUND","-33.7309891","150.9689078","304","25750.65422110836"
"SMNW.OUTBOUND","-33.7310832","150.968577","305","25783.039121021655"
"SMNW.OUTBOUND","-33.7312135","150.9682297","306","25818.32102384523"
"SMNW.OUTBOUND","-33.7315422","150.9674828","307","25896.554322817985"
"SMNW.OUTBOUND","-33.7317279","150.9671205","308","25935.944591843116"
"SMNW.OUTBOUND","-33.731826","150.9669422","309","25955.72924173472"
"SMNW.OUTBOUND","-33.731944","150.9667759","310","25975.948614905476"
"SMNW.OUTBOUND","-33.7322253","150.9664151","311","26021.681784959143"
"SMNW.OUTBOUND","-33.7325096","150.9660732","312","26066.3844505126"
"SMNW.OUTBOUND","-33.7327116","150.9658492","313","26096.928315836754"
"SMNW.OUTBOUND","-33.7330056","150.9655056","314","26142.50613434414"
"SMNW.OUTBOUND","-33.7334397","150.96498","315","26210.996248244734"
"SMNW.OUTBOUND","-33.7342469","150.9640822","316","26333.21933055138"
"SMNW.OUTBOUND","-33.7345552","150.9637396","317","26379.881634796635"
"SMNW.OUTBOUND","-33.7349724","150.9632689","318","26443.474731112157"
"SMNW.OUTBOUND","-33.7354756","150.9626916","319","26520.787593627814"
"SMNW.OUTBOUND","-33.736084","150.9619319","320","26618.307838443823"
"SMNW.OUTBOUND","-33.7364094","150.9614468","321","26675.957888767203"
"SMNW.OUTBOUND","-33.7367734","150.9607913","322","26748.895922190426"
"SMNW.OUTBOUND","-33.7369671","150.960369","323","26793.539652002917"
"SMNW.OUTBOUND","-33.7372015","150.9597069","324","26860.176607068828"
"SMNW.OUTBOUND","-33.7373102","150.9593253","325","26897.537692953912"
"SMNW.OUTBOUND","-33.7374782","150.9585519","326","26971.59004605155"
"SMNW.OUTBOUND","-33.7375372","150.9580802","327","27015.788687261083"
"SMNW.OUTBOUND","-33.7375785","150.9571481","328","27102.285850446002"
"SMNW.OUTBOUND","-33.7375653","150.9562066","329","27189.54497427357"
"SMNW.OUTBOUND","-33.7375054","150.9552388","330","27279.474780513516"
"SMNW.OUTBOUND","-33.7373497","150.9539943","331","27396.08609652788"
"SMNW.OUTBOUND","-33.7372394","150.9533501","332","27457.02369848487"
"SMNW.OUTBOUND","-33.7369492","150.9520639","333","27580.48370726571"
"SMNW.OUTBOUND","-33.736733","150.9512884","334","27656.24370026587"
"SMNW.OUTBOUND","-33.7358993","150.9491458","335","27875.27437101586"
"SMNW.OUTBOUND","-33.7357873","150.94891","336","27900.410296775488"
"SMNW.OUTBOUND","-33.7353815","150.9481339","337","27985.25483737707"
"SMNW.OUTBOUND","-33.7352099","150.9478281","338","28019.392041782732"
"SMNW.OUTBOUND","-33.7348784","150.9472956","339","28080.931545239735"
"SMNW.OUTBOUND","-33.7346584","150.9469762","340","28119.292433828632"
"SMNW.OUTBOUND","-33.7344347","150.9466915","341","28155.51033911417"
"SMNW.OUTBOUND","-33.7343564","150.9466086","342","28167.10545309761"
"SMNW.OUTBOUND","-33.733969","150.9462301","343","28222.57359811723"
"SMNW.OUTBOUND","-33.7333563","150.9456776","344","28307.66197002853"
"SMNW.OUTBOUND","-33.7329739","150.9453117","345","28361.965166720864"
"SMNW.OUTBOUND","-33.7325457","150.9449586","346","28419.641433909605"
"SMNW.OUTBOUND","-33.7323447","150.9448287","347","28444.978397949053"
"SMNW.OUTBOUND","-33.7321522","150.9447112","348","28468.946413001795"
"SMNW.OUTBOUND","-33.7318858","150.9445703","349","28501.251442724486"
"SMNW.OUTBOUND","-33.7312241","150.9442528","350","28580.32405801014"
"SMNW.OUTBOUND","-33.7309695","150.9441313","351","28610.72574946144"
"SMNW.OUTBOUND","-33.7302455","150.9437953","352","28696.855955887484"
"SMNW.OUTBOUND","-33.7298407","150.9435965","353","28745.388425424375"
"SMNW.OUTBOUND","-33.7295206","150.943438","354","28783.811807446145"
"SMNW.OUTBOUND","-33.7293433","150.9433575","355","28804.845052027198"
"SMNW.OUTBOUND","-33.7291886","150.943288","356","28823.173067731816"
"SMNW.OUTBOUND","-33.7286988","150.94303","357","28882.52951409033"
"SMNW.OUTBOUND","-33.7283067","150.9427632","358","28932.557906829512"
"SMNW.OUTBOUND","-33.7280062","150.9425245","359","28972.562027401014"
"SMNW.OUTBOUND","-33.7276197","150.9422019","360","29024.827663126383"
"SMNW.OUTBOUND","-33.7272423","150.9419122","361","29074.558463410318"
"SMNW.OUTBOUND","-33.7270023","150.9417125","362","29106.98039477689"
"SMNW.OUTBOUND","-33.7267894","150.9415545","363","29134.766434260004"
"SMNW.OUTBOUND","-33.7266373","150.9414337","364","29155.013875389297"
"SMNW.OUTBOUND","-33.7264026","150.9413043","365","29183.675844367346"
